date,value
2020-01-01,109
2020-01-02,231
2020-01-03,181
2020-01-04,200
2020-01-05,148
2020-01-06,196
2020-01-07,154
2020-01-08,173
2020-01-09,210
2020-01-10,184
2020-01-11,175
2020-01-12,110
2020-01-13,188
2020-01-14,136
2020-01-15,228
2020-01-16,166
2020-01-17,175
2020-01-18,121
2020-01-19,130
2020-01-20,217
2020-01-21,233
2020-01-22,204
2020-01-23,132
2020-01-24,80
2020-01-25,85
2020-01-26,51
2020-01-27,65
2020-01-28,80
2020-01-29,109
2020-01-30,156
2020-01-31,148
2020-02-01,106
2020-02-02,96
2020-02-03,160
2020-02-04,198
2020-02-05,169
2020-02-06,167
2020-02-07,132
2020-02-08,110
2020-02-09,82
2020-02-10,161
2020-02-11,116
2020-02-12,148
2020-02-13,154
2020-02-14,171
2020-02-15,144
2020-02-16,110
2020-02-17,194
2020-02-18,177
2020-02-19,186
2020-02-20,151
2020-02-21,144
2020-02-22,147
2020-02-23,110
2020-02-24,151
2020-02-25,171
2020-02-26,143
2020-02-27,172
2020-02-28,127
2020-02-29,127
2020-03-01,68
2020-03-02,162
2020-03-03,128
2020-03-04,174
2020-03-05,170
2020-03-06,216
2020-03-07,113
2020-03-08,141
2020-03-09,147
2020-03-10,140
2020-03-11,160
2020-03-12,157
2020-03-13,172
2020-03-14,122
2020-03-15,151
2020-03-16,218
2020-03-17,190
2020-03-18,135
2020-03-19,137
2020-03-20,178
2020-03-21,156
2020-03-22,112
2020-03-23,154
2020-03-24,159
2020-03-25,145
2020-03-26,149
2020-03-27,174
2020-03-28,95
2020-03-29,105
2020-03-30,126
2020-03-31,135
2020-04-01,168
2020-04-02,88
2020-04-03,94
2020-04-04,80
2020-04-05,86
2020-04-06,155
2020-04-07,130
2020-04-08,152
2020-04-09,166
2020-04-10,194
2020-04-11,131
2020-04-12,96
2020-04-13,185
2020-04-14,176
2020-04-15,182
2020-04-16,173
2020-04-17,184
2020-04-18,143
2020-04-19,96
2020-04-20,151
2020-04-21,184
2020-04-22,163
2020-04-23,163
2020-04-24,181
2020-04-25,126
2020-04-26,84
2020-04-27,140
2020-04-28,181
2020-04-29,160
2020-04-30,191
2020-05-01,142
2020-05-02,156
2020-05-03,130
2020-05-04,156
2020-05-05,161
2020-05-06,205
2020-05-07,129
2020-05-08,142
2020-05-09,137
2020-05-10,102
2020-05-11,167
2020-05-12,186
2020-05-13,172
2020-05-14,191
2020-05-15,190
2020-05-16,104
2020-05-17,140
2020-05-18,156
2020-05-19,149
2020-05-20,148
2020-05-21,163
2020-05-22,176
2020-05-23,116
2020-05-24,94
2020-05-25,142
2020-05-26,110
2020-05-27,122
2020-05-28,119
2020-05-29,161
2020-05-30,142
2020-05-31,134
2020-06-01,131
2020-06-02,146
2020-06-03,152
2020-06-04,219
2020-06-05,208
2020-06-06,120
2020-06-07,135
2020-06-08,141
2020-06-09,131
2020-06-10,153
2020-06-11,156
2020-06-12,175
2020-06-13,139
2020-06-14,107
2020-06-15,181
2020-06-16,198
2020-06-17,168
2020-06-18,190
2020-06-19,154
2020-06-20,177
2020-06-21,147
2020-06-22,154
2020-06-23,209
2020-06-24,175
2020-06-25,115
2020-06-26,97
2020-06-27,144
2020-06-28,120
2020-06-29,181
2020-06-30,174
2020-07-01,138
2020-07-02,141
2020-07-03,210
2020-07-04,153
2020-07-05,153
2020-07-06,160
2020-07-07,154
2020-07-08,186
2020-07-09,165
2020-07-10,226
2020-07-11,135
2020-07-12,144
2020-07-13,153
2020-07-14,179
2020-07-15,197
2020-07-16,171
2020-07-17,159
2020-07-18,143
2020-07-19,111
2020-07-20,201
2020-07-21,141
2020-07-22,157
2020-07-23,195
2020-07-24,150
2020-07-25,124
2020-07-26,123
2020-07-27,182
2020-07-28,167
2020-07-29,190
2020-07-30,187
2020-07-31,210
2020-08-01,149
2020-08-02,122
2020-08-03,116
2020-08-04,135
2020-08-05,126
2020-08-06,172
2020-08-07,215
2020-08-08,113
2020-08-09,86
2020-08-10,195
2020-08-11,156
2020-08-12,184
2020-08-13,190
2020-08-14,161
2020-08-15,129
2020-08-16,123
2020-08-17,133
2020-08-18,169
2020-08-19,179
2020-08-20,153
2020-08-21,212
2020-08-22,161
2020-08-23,151
2020-08-24,146
2020-08-25,171
2020-08-26,186
2020-08-27,157
2020-08-28,174
2020-08-29,145
2020-08-30,145
2020-08-31,164
2020-09-01,154
2020-09-02,206
2020-09-03,156
2020-09-04,152
2020-09-05,145
2020-09-06,105
2020-09-07,203
2020-09-08,142
2020-09-09,153
2020-09-10,196
2020-09-11,187
2020-09-12,121
2020-09-13,73
2020-09-14,145
2020-09-15,142
2020-09-16,181
2020-09-17,185
2020-09-18,178
2020-09-19,162
2020-09-20,103
2020-09-21,203
2020-09-22,234
2020-09-23,193
2020-09-24,204
2020-09-25,174
2020-09-26,178
2020-09-27,95
2020-09-28,155
2020-09-29,183
2020-09-30,206
2020-10-01,132
2020-10-02,118
2020-10-03,119
2020-10-04,143
2020-10-05,122
2020-10-06,180
2020-10-07,155
2020-10-08,201
2020-10-09,142
2020-10-10,102
2020-10-11,113
2020-10-12,192
2020-10-13,256
2020-10-14,176
2020-10-15,142
2020-10-16,202
2020-10-17,118
2020-10-18,116
2020-10-19,167
2020-10-20,202
2020-10-21,214
2020-10-22,201
2020-10-23,202
2020-10-24,172
2020-10-25,177
2020-10-26,164
2020-10-27,164
2020-10-28,201
2020-10-29,188
2020-10-30,217
2020-10-31,209
2020-11-01,154
2020-11-02,144
2020-11-03,198
2020-11-04,194
2020-11-05,186
2020-11-06,245
2020-11-07,197
2020-11-08,154
2020-11-09,164
2020-11-10,217
2020-11-11,252
2020-11-12,207
2020-11-13,225
2020-11-14,146
2020-11-15,143
2020-11-16,181
2020-11-17,205
2020-11-18,244
2020-11-19,219
2020-11-20,164
2020-11-21,175
2020-11-22,152
2020-11-23,167
2020-11-24,196
2020-11-25,195
2020-11-26,228
2020-11-27,236
2020-11-28,178
2020-11-29,162
2020-11-30,195
2020-12-01,179
2020-12-02,224
2020-12-03,229
2020-12-04,205
2020-12-05,180
2020-12-06,149
2020-12-07,199
2020-12-08,220
2020-12-09,196
2020-12-10,216
2020-12-11,186
2020-12-12,141
2020-12-13,107
2020-12-14,147
2020-12-15,252
2020-12-16,226
2020-12-17,195
2020-12-18,220
2020-12-19,152
2020-12-20,163
2020-12-21,216
2020-12-22,225
2020-12-23,153
2020-12-24,217
2020-12-25,232
2020-12-26,187
2020-12-27,140
2020-12-28,182
2020-12-29,147
2020-12-30,199
2020-12-31,186
